"EPA Registration Number","Active Ingredient(s)","Product Name","Company","Contact Time (in minutes)","Formulation Type","Surface Types","Use Sites","Why is this product on List N?","To kill SARS-CoV-2 (COVID-19), follow disinfection directions for the following pathogen(s)","Date Added to List N"
"71355-2","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","Kickstart","CID Lines NV","10","Dilutable","Hard Nonporous (HN)","Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Avian reovirus","05/07/2020"
"8383-12","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","Peridox","Contec Inc","2","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus; Rhinovirus","05/07/2020"
"68660-11","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","Proxitane® AHC","Solvay Chemicals LLC","10","Dilutable","Hard Nonporous (HN)","Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","04/23/2020"
"8383-13","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","PeridoxRTU ™","Contec Inc","2","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","04/09/2020"
"88089-2","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","Peridox","BioMed Protect LLC","2","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Feline calicivirus; Norovirus","03/26/2020"
"88089-4","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","PeridoxRTU™","BioMed Protect LLC","3","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Canine parvovirus","03/26/2020"
"10324-230","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","Maguard 1522","Mason Chemical Company","1","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"8383-14","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","PeridoxRTU™ (Brand) One-step Germicidal Wipes","Contec Inc","0.5 (30 seconds)","Wipe","Hard Nonporous (HN)","Healthcare; Institutional","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"1677-129","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","Oxonia Active","Ecolab Inc","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Poliovirus","03/03/2020"
"1677-237","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","Oxycide Daily Disinfectant Cleaner","Ecolab Inc","3","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus; Rhinovirus","03/03/2020"
"1677-158","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid); Octanoic acid","Vortexx","Ecolab Inc","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Reovirus","05/07/2020"
"1677-209","Hydrogen peroxide; Peroxyoctanoic acid; Octanoic acid","Octave FS","Ecolab Inc","10","Dilutable","Hard Nonporous (HN)","Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","05/07/2020"
"1677-250","Hydrogen peroxide; Peroxyoctanoic acid; Peroxyacetic acid (Peracetic acid)","Synergex","Ecolab Inc","5","Dilutable","Hard Nonporous (HN)","Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Reovirus","03/13/2020"
"84526-1","Hydrogen peroxide; Silver","HaloSpray","Halosil International Inc","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Feline calicivirus; Norovirus","03/26/2020"
"84526-6","Hydrogen peroxide; Silver","Halomist","Halosil International Inc","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus; Minute virus of mice","03/19/2020"
"88373-1","Hypochlorous acid","275 TBD","Innovacyn Inc","10","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus; Feline calicivirus","08/20/2020"
"96048-1","Hypochlorous acid","Sanitized Pro","Lonestar Stim Products LLC","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus; Feline calicivirus","08/13/2020"
"93908-1","Hypochlorous acid","Envirolyte O & G","Aqua Engineered Solution Inc","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","05/28/2020"
"67619-42","Hypochlorous acid","Galaxy","Clorox Professional Products Company","5","Ready-to-use; Electrostatic spray (Clorox® Total 360® system)","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus; Rhinovirus","05/07/2020"
"92449-1","Hypochlorous acid","Annihilyte-1","Annihilare Medical Systems Inc","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","04/30/2020"
"87518-1","Hypochlorous acid","Hsp2O","HSP USA LLC","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","04/23/2020"
"777-131","Hypochlorous acid","Cousteau","Reckitt Benckiser LLC","10","Ready-to-use","Hard Nonporous (HN); Food Contact No Rinse (FCNR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","03/26/2020"
"92108-1","Hypochlorous acid","Excelyte Vet","PCT LTD","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/26/2020"
"85134-1","Hypochlorous acid","Envirocleanse A","Envirocleanse LLC","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/19/2020"
"91582-1","Hypochlorous acid","Danolyte","Danolyte Global Inc","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus; Rhinovirus","03/19/2020"
"89896-2","Hypochlorous acid","Cleansmart","Simple Science Limited","10","Ready-to-use","Hard Nonporous (HN); Food Contact No Rinse (FCNR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"1677-249","Isopropanol (Isopropyl alcohol)","Klercide 70/30 IPA","Ecolab Inc","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","03/03/2020"
"954-10","Isopropanol (Isopropyl alcohol); Phenolic","Clippercide Spray","King Research Inc","10","Ready-to-use","Hard Nonporous (HN)","Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"73232-1","Isopropanol (Isopropyl alcohol); Quaternary ammonium","Alpet D2","Best Sanitizers Inc","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","04/23/2020"
"4822-592","L-Lactic acid","Hygeia","S.C. Johnson & Son Inc","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","05/14/2020"
"4822-593","L-Lactic acid","Windex Disinfectant Cleaner","S.C. Johnson & Son Inc","5","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","04/09/2020"
"42048-4","L-Lactic acid","Sani-Cide EX3 (10X) RTU","Celeste Industries Corp","10","Ready-to-use","Hard Nonporous (HN)","Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","04/02/2020"
"64240-65","L-Lactic acid","WC Complete","Combat Insect Control Systems","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Rhinovirus","03/26/2020"
"4822-606","L-Lactic acid","Fangio","S.C. Johnson & Son Inc","10","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"4822-608","L-Lactic acid","Gurney","S.C. Johnson & Son Inc","5","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"1677-204","Octanoic acid","65 Disinfecting Heavy Duty Acid Bathroom Cleaner","Ecolab Inc","2","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"54289-4","Peroxyacetic acid (Peracetic acid)","Peraclean 15 (Peroxyacetic Acid Solution)","Evonik Corporation","1","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"1677-193","Peroxyacetic acid (Peracetic acid); Hydrogen peroxide","AdvaCare 120 Sanitizer/Sour","Ecolab Inc","6","Dilutable","Porous (P) (laundry)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Clostridioides difficile","05/28/2020"
"12120-4","Peroxyacetic acid (Peracetic acid); Hydrogen peroxide","SSS Synersys Sporicidal Disinfectant","Standardized Sanitation Systems Inc","2","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","05/28/2020"
"58300-25","Peroxyacetic acid (Peracetic acid); Hydrogen peroxide","Stericide","ConSeal International Inc","20","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Use this product according to the directions for use for sterilization","05/14/2020"
"65402-3","Peroxyacetic acid (Peracetic acid); Hydrogen peroxide","VigorOx SP-15 Antimicrobial Agent","PeroxyChem LLC","5","Dilutable","Hard Nonporous (HN)","Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","04/23/2020"
"66171-103","Peroxyacetic acid (Peracetic acid); Hydrogen peroxide","Peraside A Peroxyacetic Acid-Based Sanitizer/Disinfectant","Preserve International","2","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Murine norovirus","04/09/2020"
"65402-9","Peroxyacetic acid (Peracetic acid); Hydrogen peroxide","VigorOx 15/10 Antimicrobial Agent","PeroxyChem LLC","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","03/26/2020"
"67619-35","Peroxyacetic acid (Peracetic acid); Hydrogen peroxide","Blacksmith","Clorox Professional Products Company","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","03/13/2020"
"3862-188","Phenolic","Disinfectant Spray 2","ABC Compounding Co Inc","3","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","08/06/2020"
"3862-194","Phenolic","Pheno Tek 128","ABC Compounding Co Inc","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","08/06/2020"
"3862-193","Phenolic","Tek Trol II","ABC Compounding Co Inc","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","08/06/2020"
"1043-92","Phenolic","LpH® se","Steris Corporation","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"3862-104","Phenolic","Hospital Surface Disinfectant and Deodorizer","ABC Compounding Co Inc","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"3862-177","Phenolic","Tek-Trol Disinfectant Cleaner Concentrate","ABC Compounding Co Inc","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"33176-6","Phenolic","Airysol Brand Multi-Purpose Disinfectant Cleaner","Amrep Inc","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"46851-1","Phenolic","Omni II","Certol International LLC","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"46851-5","Phenolic","OMC II Spray","Certol International LLC","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"62296-1","Phenolic","Let's Touch","RBR Productions Inc","10","Dilutable","Hard Nonporous (HN)","Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Tuberculocidal","07/23/2020"
"1043-127","Phenolic","LpH® IIIse Phenolic Disinfectant","Steris Corporation","10","Dilutable","Hard Nonporous (HN)","Healthcare","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus","04/30/2020"
"8383-3","Phenolic","Sporicidin (Brand) Disinfectant Solution (Spray)","Contec Inc","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","04/30/2020"
"1043-128","Phenolic","Vesphene IIIse Phenolic Disinfectant","Steris Corporation","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus","04/23/2020"
"34810-31","Phenolic","Wex-cide 128","Wexford Labs Inc","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","04/23/2020"
"1043-87","Phenolic","Vesphene II se","Steris Corporation","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus","03/26/2020"
"1043-91","Phenolic","LpH®","Steris Corporation","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus","03/26/2020"
"34810-21","Phenolic","Ready To Use Wex-Cide","Wexford Labs Inc","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Rhinovirus","03/26/2020"
"3862-179","Phenolic","Opti-Phene","ABC Compounding Co Inc","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Human adenovirus","03/26/2020"
"70627-6","Phenolic","Phenolic Disinfectant HG","Diversey Inc","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"8383-7","Phenolic","Sporicidin (Brand) Disinfectant Towelettes","Contec Inc","5","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"44446-67","Phenolic; Ethanol (Ethyl alcohol)","Concept Hospital Disinfectant Deodorant","Quest Specialty Corp","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus; Canine hepatitis virus","03/26/2020"
"92589-1","Potassium peroxymonosulfate; Sodium chloride","BioBuster","Envyss LLC","10","Dilutable","Hard Nonporous (HN)","Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus","06/17/2020"
"39967-137","Potassium peroxymonosulfate; Sodium chloride","Virkon S","Lanxess Corporation","10","Dilutable","Hard Nonporous (HN)","Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","05/21/2020"
"39967-138","Potassium peroxymonosulfate; Sodium chloride","Rely+On Multipurpose Disinfectant Cleaner","Lanxess Corporation","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Hepatitis A virus; Feline calicivirus","04/09/2020"
"6836-357","Quaternary ammonium","Carbosan 20D","Lonza LLC","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","08/20/2020"
"6836-358","Quaternary ammonium","Carbosan 7.5D","Lonza LLC","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","08/20/2020"
"6836-356","Quaternary ammonium","Carbosan 50D","Lonza LLC","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","08/20/2020"
"5813-113","Quaternary ammonium","CDW","The Clorox Company","0.5 (30 seconds)","Wipe","Hard Nonporous (HN)","Institutional; Residential","Tested against SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","SARS-CoV-2","08/20/2020"
"5813-79","Quaternary ammonium","Clorox Disinfecting Wipes","The Clorox Company","0.5 (30 seconds)","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Tested against SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","SARS-CoV-2","08/20/2020"
"67619-31","Quaternary ammonium","Clorox Commercial Solutions® Clorox® Disinfecting Wipes","Clorox Professional Products Company","0.5 (30 seconds)","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Tested against SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","SARS-CoV-2","08/20/2020"
"70385-8","Quaternary ammonium","Professional Strength Multi-Purpose Antibacterial Cleaner","Prorestore Products","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus; Norovirus","08/13/2020"
"954-14","Quaternary ammonium","Barbicide RTU","King Research Inc","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","08/13/2020"
"777-128","Quaternary ammonium","Lysol® Laundry Sanitizer","Reckitt Benckiser LLC","5","Dilutable","Porous (P) (laundry presoak only)","Residential","Tested against SARS-CoV-2 (COVID-19)","SARS-CoV-2","08/13/2020"
"6836-340","Quaternary ammonium","Lonza Disinfectant Wipes Plus 2","Lonza LLC","4","Wipe","Hard Nonporous (HN)","Healthcare; Institutional","Tested against SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","SARS-CoV-2","08/07/2020"
"6836-336","Quaternary ammonium","Lonza Disinfectant Wipes Plus","Lonza LLC","4","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Tested against SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","SARS-CoV-2","08/06/2020"
"6836-382","Quaternary ammonium","Nugen Low Streak Disinfectant Wipes","Lonza LLC","4","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Tested against SARS-CoV-2 (COVID-19)","SARS-CoV-2","08/06/2020"
"6836-313","Quaternary ammonium","Lonza Disinfectant Wipes","Lonza LLC","4","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Tested against SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","SARS-CoV-2","08/06/2020"
"6836-136","Quaternary ammonium","Lonza Formulation S-18F","Lonza LLC","3","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Tested against SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","SARS-CoV-2","07/29/2020"
"6836-140","Quaternary ammonium","Lonza Formulation S-21F","Lonza LLC","3","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Tested against SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","SARS-CoV-2","07/29/2020"
"6836-152","Quaternary ammonium","Lonza Formulation DC-103","Lonza LLC","3","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Tested against SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","SARS-CoV-2","07/29/2020"
"6836-77","Quaternary ammonium","Lonza Formulation S-18","Lonza LLC","3","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Tested against SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","SARS-CoV-2","07/29/2020"
"6836-381","Quaternary ammonium","Lonzagard R-82G","Lonza LLC","3","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Tested against SARS-CoV-2 (COVID-19)","SARS-CoV-2","07/29/2020"
"6836-139","Quaternary ammonium","Lonza Formulation R-82F","Lonza LLC","3","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Tested against SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","SARS-CoV-2","07/29/2020"
"6836-346","Quaternary ammonium","Lonzagard RCS-256","Lonza LLC","3","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Tested against SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","SARS-CoV-2","07/29/2020"
"6836-347","Quaternary ammonium","Lonzagard RCS-128","Lonza LLC","3","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Tested against SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","SARS-CoV-2","07/29/2020"
"6836-348","Quaternary ammonium","Lonzagard RCS-128 PLUS","Lonza LLC","3","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Tested against SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","SARS-CoV-2","07/29/2020"
"6836-349","Quaternary ammonium","Lonzagard RCS-256 Plus","Lonza LLC","3","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Tested against SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","SARS-CoV-2","07/29/2020"
"6836-75","Quaternary ammonium","Lonza Formulation S-21","Lonza LLC","3","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Tested against SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","SARS-CoV-2","07/29/2020"
"6836-78","Quaternary ammonium","Lonza Formulation R-82","Lonza LLC","3","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Tested against SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","SARS-CoV-2","07/29/2020"
"62472-1","Quaternary ammonium","KennelSol","Alpha Tech Pet Inc","10","Dilutable","Hard Nonporous (HN)","Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline picornavirus","07/23/2020"
"1839-223","Quaternary ammonium","SCTB Wipe","Stepan Company","5","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"62472-2","Quaternary ammonium","Kennelsol HC","Alpha Tech Pet Inc","10","Dilutable","Hard Nonporous (HN)","Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline picornavirus","07/23/2020"
"777-114","Quaternary ammonium","Lysol® Disinfecting Wipes (All Scents)","Reckitt Benckiser LLC","2","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Tested against SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","SARS-CoV-2","07/23/2020"
"61178-1","Quaternary ammonium","D-125","Microgen Inc","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus; Porcine rotavirus","07/09/2020"
"777-71","Quaternary ammonium","Lysol® Brand Foaming Disinfectant Basin Tub & Tile Cleaner II","Reckitt Benckiser LLC","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus; Norovirus","07/01/2020"
